mmsi,total_records,first_seen,last_seen,duration_days,avg_latitude,avg_longitude,avg_speed_knots,min_speed_knots,max_speed_knots,avg_course
257626000,474,2025-03-21 17:29:16.986000+00:00,2025-03-21 18:51:17.367000+00:00,0.06,60.0309,5.3561,10.29,9.8,10.5,336.0
259528000,473,2024-08-20 03:51:32.436000+00:00,2024-08-27 05:23:32.294000+00:00,7.06,61.1331,5.0221,9.67,8.5,11.1,212.7
211249810,473,2024-08-30 12:18:53.264000+00:00,2024-08-30 13:43:44.253000+00:00,0.06,61.1193,5.0216,5.13,0.8,6.5,172.2
259317000,473,2024-08-25 20:13:42.909000+00:00,2024-08-25 21:41:52.364000+00:00,0.06,61.1077,5.0305,5.26,1.6,10.8,181.2
258430000,469,2025-02-25 17:03:24.572000+00:00,2025-03-01 23:14:58.618000+00:00,4.26,61.1319,5.0219,10.58,9.2,11.7,206.2
258156000,467,2024-08-25 16:41:44.863000+00:00,2024-09-11 23:18:14.577000+00:00,17.28,61.1321,5.023,10.1,8.5,11.3,224.6
257550000,466,2024-12-26 20:22:20.881000+00:00,2025-01-03 18:34:04.011000+00:00,7.92,61.131,5.0226,13.36,12.3,14.3,205.5
231837000,466,2024-10-05 06:37:09.180000+00:00,2025-01-03 12:46:05.146000+00:00,90.26,61.1308,5.0233,10.08,8.8,11.5,259.5
244790047,459,2024-12-21 21:00:51.160000+00:00,2024-12-24 19:08:04.687000+00:00,2.92,61.1314,5.0222,14.69,13.3,15.8,223.8
266201000,459,2025-03-06 12:39:42.599000+00:00,2025-03-09 04:08:17.974000+00:00,2.64,60.0273,5.3517,13.67,13.3,14.2,336.0
257917000,458,2025-03-11 08:51:32.443000+00:00,2025-03-11 09:59:30.474000+00:00,0.05,60.0274,5.3549,12.49,11.7,13.2,331.5
259038700,457,2025-02-26 21:04:56.381000+00:00,2025-02-26 22:17:04.996000+00:00,0.05,60.0281,5.3513,11.72,11.4,12.2,300.9
319293900,456,2024-08-17 12:57:35.653000+00:00,2024-08-21 14:33:17.469000+00:00,4.07,61.1333,5.0222,14.63,2.7,17.3,227.7
314037000,454,2025-03-12 11:21:29.313000+00:00,2025-03-12 12:46:09.436000+00:00,0.06,60.0312,5.3449,10.0,9.3,10.4,155.6
259653000,454,2024-08-15 16:21:43.555000+00:00,2024-08-15 17:39:53.517000+00:00,0.05,61.096,5.0224,8.28,7.6,8.7,208.4
